N,P,K,temperature,humidity,ph,rainfall,label
27.68,59.7,15.77,31.23,45.31,6.97,162.55,pigeonpeas
35.71,63.38,16.74,22.12,26.26,5.6,81.59,kidneybeans
71.73,61.37,15.13,18.77,59.16,5.55,69.07,maize
90.26,59.97,43.81,26.03,87.21,6.02,155.36,jute
31.57,65.47,80.2,22.31,29.72,6.51,86.17,chickpea
30.65,130.23,195.08,24.3,93.5,6.05,118.29,apple
25.31,18.23,26.91,21.56,91.4,6.46,117.49,orange
120.0,38.1,16.98,24.4,83.88,6.35,94.08,cotton
83.43,63.21,40.75,22.72,84.65,6.19,245.47,rice
35.62,24.29,25.65,28.11,92.35,6.34,225.69,coconut
19.59,138.37,203.79,33.12,86.98,5.81,61.99,grapes
12.99,71.21,16.72,28.47,66.13,5.74,78.49,lentil
87.98,23.86,50.49,31.59,74.97,6.24,54.54,watermelon
31.06,127.96,207.44,22.22,80.86,6.44,67.56,grapes
25.89,122.17,200.41,31.38,84.18,6.21,77.22,grapes
38.0,72.32,22.33,34.95,62.88,7.04,76.0,blackgram
14.83,26.89,48.88,18.03,87.38,6.94,106.84,pomegranate
38.55,62.68,91.06,20.39,19.67,7.22,88.65,chickpea
21.25,7.67,29.94,29.37,98.87,5.52,218.63,coconut
94.18,47.23,17.47,25.84,63.91,6.53,77.96,maize
28.34,75.02,19.51,26.62,65.86,6.24,47.69,lentil
12.03,135.33,206.12,22.24,86.64,5.93,77.78,grapes
90.04,30.86,51.99,29.63,62.31,6.91,49.78,watermelon
73.15,61.29,43.43,27.76,85.8,6.99,192.83,jute
84.96,25.5,26.94,25.08,57.69,7.11,188.71,coffee
119.55,29.85,28.99,27.18,64.6,7.12,159.81,coffee
38.23,65.13,24.06,18.21,22.76,5.73,117.64,kidneybeans
85.99,37.52,36.81,25.38,83.07,6.22,159.26,jute
35.44,63.41,23.85,29.91,38.32,5.3,64.08,mothbeans
20.94,67.81,16.04,18.85,22.88,6.15,145.55,kidneybeans
102.81,71.61,46.4,28.11,77.08,6.0,160.83,banana
35.89,55.37,18.79,18.37,18.19,5.62,97.23,kidneybeans
20.78,12.32,26.74,28.96,99.55,6.12,225.24,coconut
50.11,69.23,46.4,35.33,91.0,6.79,212.41,papaya
52.13,56.4,47.06,38.87,92.26,6.96,97.38,papaya
15.42,43.06,16.99,28.23,79.6,6.83,54.7,mungbean
26.54,23.99,26.26,32.89,52.88,5.01,78.07,mango
27.89,20.98,46.14,21.66,86.17,6.13,121.47,pomegranate
81.93,22.07,45.23,26.64,63.42,6.91,56.93,watermelon
39.47,70.09,18.58,21.48,19.23,6.39,105.28,kidneybeans
81.06,55.61,15.82,18.54,59.94,5.82,103.59,maize
29.16,123.73,199.38,24.16,90.08,5.77,100.07,apple
52.01,61.04,15.68,28.17,62.67,7.01,83.33,blackgram
30.63,57.05,94.36,17.95,26.54,7.25,75.28,chickpea
22.45,136.88,190.81,18.07,82.03,5.9,76.91,grapes
18.17,139.11,209.61,27.35,80.1,5.64,66.44,grapes
90.0,71.97,51.91,27.86,79.05,5.86,118.19,banana
117.98,42.25,15.01,24.8,80.91,6.96,78.07,cotton
94.22,56.11,39.74,20.68,82.37,6.21,200.78,rice
32.34,15.05,33.8,21.22,87.86,6.25,125.81,pomegranate
12.3,35.13,21.7,30.21,81.16,6.73,50.39,mungbean
102.94,76.46,53.62,29.71,80.18,5.85,120.43,banana
76.36,55.98,41.39,25.66,85.37,7.14,180.89,jute
19.46,46.79,17.37,27.48,77.69,7.2,56.94,mungbean
60.52,53.22,16.78,26.65,57.97,6.33,64.27,maize
38.96,78.52,80.19,19.3,28.09,7.68,67.44,chickpea
52.87,74.95,83.71,23.18,16.8,7.09,60.23,chickpea
49.86,68.94,89.61,19.65,15.9,7.12,98.31,chickpea
19.87,129.77,208.93,21.23,93.34,6.24,113.44,apple
74.88,58.29,38.41,26.52,87.88,6.14,270.1,rice
37.25,63.65,16.54,15.25,24.46,6.14,90.65,kidneybeans
67.45,47.26,46.13,23.7,90.52,6.21,253.42,papaya
114.81,34.4,25.84,27.45,59.44,7.12,157.0,coffee
29.31,67.3,18.1,26.82,65.04,6.82,67.74,blackgram
38.94,55.22,24.98,21.77,26.28,5.79,61.29,kidneybeans
27.0,23.86,28.81,31.12,55.91,5.63,94.27,mango
25.62,33.56,30.1,31.22,50.97,4.57,73.42,mango
30.81,29.38,34.62,26.17,91.0,5.72,200.2,coconut
38.32,53.02,48.87,36.07,90.79,6.86,138.46,papaya
35.86,129.02,202.24,20.76,90.33,5.72,103.84,apple
40.43,71.62,90.91,24.27,18.52,6.8,66.1,chickpea
25.35,37.56,48.08,19.1,88.67,6.62,106.38,pomegranate
33.16,71.42,91.44,18.8,26.63,7.93,68.15,chickpea
87.03,25.64,46.72,28.53,88.21,6.16,23.08,muskmelon
29.69,128.84,199.65,22.99,92.36,6.2,113.01,apple
91.93,28.75,52.8,30.92,90.19,6.86,25.87,muskmelon
80.61,25.72,50.05,29.63,94.74,6.91,22.43,muskmelon
32.82,15.4,30.58,30.79,52.6,5.91,72.53,mango
16.48,29.77,34.13,34.98,58.82,6.95,60.43,mango
122.99,44.84,23.2,22.92,79.65,5.52,84.08,cotton
32.65,25.09,30.53,27.44,91.14,5.63,163.96,coconut
37.74,25.51,32.34,21.7,86.27,6.59,119.3,pomegranate
91.81,43.12,39.39,20.55,75.38,6.94,280.32,rice
102.54,30.36,46.98,29.47,92.92,6.48,28.05,muskmelon
111.42,37.51,27.19,26.13,57.84,7.48,173.94,coffee
51.73,55.75,45.11,42.46,93.02,6.2,242.31,papaya
21.84,50.9,16.61,28.58,54.16,8.37,43.85,mothbeans
89.71,44.89,18.46,21.34,74.75,5.58,103.35,maize
17.03,27.02,30.52,33.32,48.86,6.87,66.79,mango
104.84,21.48,50.89,30.6,87.41,6.17,34.58,muskmelon
36.94,73.47,15.14,22.72,38.58,5.31,117.23,pigeonpeas
20.74,64.69,21.84,31.74,77.14,6.57,53.87,mungbean
116.69,26.59,26.04,25.29,57.52,6.87,171.93,coffee
13.11,138.45,190.78,31.47,82.73,6.37,69.7,grapes
36.31,18.19,28.34,26.04,98.0,6.44,176.81,coconut
114.89,44.55,21.21,22.82,83.46,6.72,83.82,cotton
25.46,73.77,16.01,23.28,41.05,5.8,197.84,pigeonpeas
85.1,52.53,44.01,20.32,79.21,6.93,286.83,rice
23.24,129.54,202.36,23.59,91.96,6.4,116.8,apple
36.89,34.2,30.07,20.24,89.22,6.23,107.98,pomegranate
90.74,26.74,25.77,26.53,57.87,6.41,150.17,coffee
56.4,71.27,85.66,18.24,20.0,7.34,99.77,chickpea
112.39,43.91,18.06,26.42,82.24,6.5,99.94,cotton
76.48,37.2,39.05,23.2,86.7,6.31,166.42,jute
14.58,32.75,31.77,27.24,51.18,5.33,86.78,mango
90.81,94.68,50.18,27.31,78.14,6.08,184.89,banana
36.81,50.28,45.74,29.07,93.14,6.57,174.67,papaya
34.17,129.05,204.68,20.52,93.95,6.03,108.77,apple
54.18,74.75,81.09,15.81,21.04,6.35,87.8,chickpea
69.7,38.45,41.11,22.02,83.72,5.73,237.74,rice
28.72,62.19,18.07,24.71,54.85,5.5,170.6,pigeonpeas
26.71,41.94,20.02,29.85,58.74,4.91,62.15,mothbeans
26.24,37.58,15.57,27.53,83.78,6.82,45.84,mungbean
95.57,58.14,39.12,23.92,88.83,6.8,192.62,jute
22.88,24.12,33.15,18.22,94.47,6.24,109.6,pomegranate
36.92,132.97,207.64,27.13,85.42,6.42,78.0,grapes
21.17,54.85,16.41,28.57,35.56,5.28,45.47,mothbeans
75.65,47.6,44.69,26.47,84.38,6.84,198.73,jute
94.47,63.11,18.73,20.44,67.88,6.32,61.27,maize
34.71,17.03,31.74,27.17,95.59,5.59,199.63,coconut
68.01,35.86,16.05,23.73,69.13,5.56,106.81,maize
53.16,55.68,76.3,19.64,28.64,7.08,79.91,chickpea
92.39,89.91,51.66,26.43,79.6,5.69,117.35,banana
79.71,35.34,39.69,20.39,76.78,5.68,257.91,rice
29.99,19.57,29.88,25.93,98.95,5.87,139.13,coconut
90.73,43.66,39.09,25.62,72.7,6.04,157.64,jute
19.63,21.31,30.34,35.24,46.55,6.86,91.8,mango
80.45,36.7,47.45,30.65,93.11,6.86,34.87,muskmelon
34.41,134.9,202.89,23.79,90.59,6.33,121.17,apple
90.61,97.12,48.21,27.76,75.51,5.54,183.65,banana
32.62,75.43,20.46,36.37,32.07,6.01,169.03,pigeonpeas
53.8,64.88,15.51,29.02,66.74,6.95,82.47,blackgram
39.46,6.58,27.58,30.35,91.57,7.95,105.76,orange
38.18,65.34,77.44,16.81,25.22,6.36,81.01,chickpea
96.81,17.65,47.63,24.31,57.64,6.74,40.95,watermelon
104.2,86.8,49.86,27.52,76.76,6.31,160.43,banana
17.15,144.24,190.77,23.77,92.63,5.87,101.98,apple
39.74,64.16,82.92,21.95,20.83,6.9,69.5,chickpea
83.83,23.86,27.51,27.58,67.05,6.87,176.02,coffee
16.41,64.35,24.44,30.19,56.86,6.4,111.89,pigeonpeas
34.65,8.06,26.21,20.35,91.27,7.74,108.64,orange
31.17,132.35,202.41,22.72,93.7,6.21,116.03,apple
32.5,9.39,28.72,25.14,91.37,5.76,135.44,coconut
41.2,66.83,52.43,36.85,92.03,6.26,255.48,papaya
94.04,29.72,53.95,27.14,74.04,6.42,52.02,watermelon
10.57,59.81,20.25,30.2,37.03,5.71,40.75,mothbeans
39.71,52.24,51.62,35.88,92.66,6.68,180.23,papaya
47.01,73.46,92.57,19.04,19.91,7.34,92.31,chickpea
35.79,31.29,39.64,21.64,94.75,6.97,108.61,pomegranate
45.7,62.18,90.86,20.78,24.52,7.6,75.84,chickpea
41.85,57.13,52.85,33.2,91.68,6.08,161.07,papaya
26.32,64.46,15.88,22.11,69.81,6.44,56.65,lentil
37.25,141.48,191.53,20.53,92.48,6.11,108.25,apple
29.53,34.74,38.35,18.51,87.74,6.98,123.85,pomegranate
51.27,57.67,86.35,17.57,29.44,6.97,92.24,chickpea
39.04,33.82,33.11,27.33,52.02,6.12,93.2,mango
43.42,70.01,85.31,24.19,22.45,7.98,94.06,chickpea
11.13,29.3,35.25,18.37,87.31,6.8,134.06,pomegranate
96.65,15.64,53.6,26.06,55.66,6.48,49.98,watermelon
30.66,67.22,19.02,24.94,26.8,6.12,111.24,kidneybeans
34.98,59.12,23.66,27.3,85.38,6.21,50.4,mungbean
108.71,30.9,50.96,29.3,88.64,6.35,29.55,muskmelon
95.31,13.84,52.39,27.18,56.57,6.38,49.96,watermelon
35.78,69.97,16.15,15.94,27.1,6.17,134.64,kidneybeans
100.37,31.75,54.65,28.3,85.18,6.55,30.6,muskmelon
36.2,24.87,28.35,29.07,50.67,5.29,87.09,mango
88.53,57.82,40.61,25.4,82.41,6.28,231.3,rice
34.07,77.74,20.69,32.62,68.12,6.84,73.01,blackgram
36.15,76.95,92.59,23.71,18.58,6.9,99.4,chickpea
119.82,70.68,46.13,28.05,83.21,5.79,121.1,banana
33.92,77.39,24.67,29.43,63.21,7.03,80.63,blackgram
16.85,64.39,23.04,26.24,69.89,6.18,125.33,pigeonpeas
43.99,47.52,51.06,37.28,93.21,6.86,147.01,papaya
15.38,79.13,17.51,30.84,58.27,6.33,124.42,pigeonpeas
26.64,59.78,21.31,30.92,83.98,6.62,63.95,mungbean
22.58,9.46,34.24,28.81,94.81,6.52,219.73,coconut
106.15,39.0,17.04,25.83,77.95,5.53,107.21,cotton
10.61,131.16,195.54,36.56,82.83,6.19,73.48,grapes
36.19,144.81,203.59,24.68,94.13,6.34,117.07,apple
15.16,61.09,19.58,27.11,62.06,6.56,40.85,lentil
111.57,70.94,54.67,27.63,78.03,5.86,98.63,banana
80.39,40.26,43.06,27.44,87.03,6.65,187.93,jute
15.51,136.77,199.39,21.73,94.31,6.35,100.67,apple
37.21,27.62,31.71,21.15,92.56,6.79,119.78,pomegranate
37.55,123.18,206.47,22.05,94.95,5.97,116.62,apple
21.07,45.72,18.44,29.6,81.61,7.32,52.64,mungbean
83.58,29.47,50.67,29.77,85.32,6.47,33.87,muskmelon
100.05,20.98,30.9,25.22,58.93,6.54,150.85,coffee
81.91,18.69,28.49,27.15,67.85,6.28,180.98,coffee
37.96,78.77,20.77,24.79,61.5,5.25,152.05,pigeonpeas
66.26,42.5,39.89,26.51,89.73,6.66,175.91,jute
15.45,79.07,22.27,18.05,26.29,5.78,138.55,kidneybeans
113.44,77.95,49.49,27.69,81.64,6.28,141.32,banana
95.09,43.74,23.17,21.95,62.54,6.43,75.07,maize
68.99,53.39,41.28,26.67,82.42,7.45,159.86,jute
99.87,47.58,20.95,18.6,70.0,5.92,104.9,maize
36.57,59.48,23.0,28.5,45.86,4.9,185.18,pigeonpeas
20.95,30.29,31.96,30.42,46.62,4.67,83.56,mango
22.33,74.33,20.18,18.48,21.72,5.5,86.98,kidneybeans
24.21,23.4,30.14,23.74,88.6,6.54,127.09,pomegranate
106.14,29.89,48.42,29.47,50.49,6.74,49.74,watermelon
20.39,65.23,18.29,31.93,67.66,6.8,84.35,blackgram
89.46,62.7,24.26,22.06,57.26,7.47,101.94,maize
99.87,51.66,42.69,26.61,87.74,5.87,234.07,rice
21.18,62.86,15.62,24.74,34.88,7.31,43.76,mothbeans
37.26,62.19,18.68,15.58,19.12,6.02,84.08,kidneybeans
25.26,26.92,27.71,27.29,54.08,5.49,71.95,mango
131.93,38.82,18.96,23.36,77.92,5.68,100.29,cotton
60.24,51.38,45.89,24.65,92.13,6.95,87.9,papaya
37.98,38.56,24.34,29.47,45.95,3.71,51.89,mothbeans
113.21,41.93,23.89,22.27,76.77,6.32,84.05,cotton
21.45,58.26,18.43,30.14,77.88,6.22,63.45,mungbean
30.83,7.8,19.13,16.22,92.16,7.27,105.14,orange
67.48,48.65,42.48,24.41,70.4,6.81,197.83,jute
24.77,55.91,15.53,33.34,61.18,6.55,73.14,blackgram
26.46,47.08,20.2,31.98,77.03,7.01,49.9,mungbean
96.21,38.16,28.53,25.29,69.63,6.3,153.26,coffee
104.93,71.69,45.24,27.25,78.33,5.94,124.15,banana
33.23,79.17,17.24,30.6,59.68,7.05,136.49,pigeonpeas
52.78,69.96,51.95,29.48,94.38,6.78,43.39,papaya
33.45,139.18,208.11,22.05,94.77,6.37,108.9,apple
38.1,19.25,47.39,23.35,87.48,6.04,104.07,pomegranate
65.25,31.14,24.21,23.55,70.93,6.46,65.87,maize
29.02,37.87,27.09,33.65,46.18,6.01,66.56,mango
27.25,23.45,29.9,25.14,90.64,6.31,201.88,coconut
34.39,127.2,196.48,23.39,92.82,5.66,109.3,apple
14.78,78.73,18.05,20.03,64.61,5.96,41.41,lentil
61.62,53.38,43.06,25.19,81.09,7.2,180.53,jute
23.96,35.41,15.82,26.07,30.84,7.54,50.66,mothbeans
14.09,70.67,18.59,29.95,64.8,6.23,62.63,lentil
20.52,11.04,25.62,25.9,91.24,6.87,144.03,coconut
37.08,66.73,24.29,31.41,63.12,7.03,61.98,blackgram
95.55,48.93,40.16,24.66,75.53,6.98,155.99,jute
39.78,42.22,23.74,31.15,78.37,6.6,50.24,mungbean
122.33,60.84,23.31,23.41,80.48,5.62,105.76,cotton
91.34,10.24,45.09,27.68,62.21,6.02,53.74,watermelon
17.62,141.46,196.2,24.86,90.59,6.46,102.73,apple
21.21,123.58,191.91,37.86,80.91,6.15,68.26,grapes
29.65,16.15,28.47,29.18,97.58,5.98,140.3,coconut
24.97,142.6,201.67,28.46,84.54,5.71,60.07,grapes
103.12,19.82,47.42,25.35,69.37,6.13,49.08,watermelon
99.47,46.23,38.71,25.69,89.21,6.98,270.41,rice
13.64,17.84,29.11,33.48,55.68,4.95,63.18,mango
20.74,15.21,33.39,27.32,59.1,6.73,81.42,mango
93.07,22.24,30.24,23.4,52.35,6.26,188.74,coffee
12.0,39.96,30.5,23.85,88.65,6.84,122.18,pomegranate
103.55,72.68,49.31,25.87,84.87,6.06,179.37,banana
25.45,115.79,209.55,17.7,89.32,6.41,70.51,grapes
68.59,61.67,44.93,23.43,87.25,6.59,176.2,jute
10.63,13.42,8.61,15.82,94.53,6.07,104.4,orange
103.23,54.7,21.54,22.47,78.19,6.99,93.92,cotton
29.87,18.96,31.88,28.28,51.38,5.12,89.94,mango
54.04,66.92,50.44,28.0,94.26,6.56,85.51,papaya
89.59,15.03,47.63,27.18,92.04,6.49,21.41,muskmelon
16.37,54.91,19.11,27.22,56.54,9.23,62.73,mothbeans
95.73,54.1,41.89,26.34,78.99,7.03,153.49,jute
30.9,62.7,89.09,17.02,25.1,7.94,63.76,chickpea
38.84,55.04,24.33,26.12,48.34,7.84,47.94,mothbeans
22.49,23.47,41.98,18.5,87.27,6.93,136.34,pomegranate
91.94,27.4,54.48,24.55,62.68,6.33,50.17,watermelon
11.51,36.58,21.92,27.66,36.8,7.43,46.32,mothbeans
130.52,40.06,21.31,22.43,84.47,5.94,71.32,cotton
43.39,66.49,54.25,40.35,91.67,6.27,160.81,papaya
89.78,24.27,51.03,31.89,73.44,6.86,57.78,watermelon
37.52,47.2,16.43,29.72,38.8,6.86,57.45,mothbeans
85.29,54.01,40.36,20.63,87.53,5.98,202.38,rice
11.27,21.85,30.37,27.22,96.34,6.74,172.77,coconut
30.48,52.26,19.29,26.21,53.06,4.95,57.31,mothbeans
18.16,41.54,21.62,29.07,47.8,3.6,58.22,mothbeans
90.94,34.58,24.7,22.08,59.72,5.65,68.49,maize
77.35,46.96,41.16,24.45,75.68,6.06,255.1,rice
78.06,35.73,22.95,24.24,59.42,5.66,94.02,maize
27.6,11.86,25.32,29.1,92.76,6.69,158.82,coconut
